"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","id"
"8918","Niland CDP",2014,0.402,37,37,0,0,0,0,28,3,0,32,0,2484.5,2484.5,0,0,0,0,459.5,1650,0,534.5,0,-0.712162162162162,0.777332100967917,-0.821891891891892,-0.821891891891892,-0.0543243243243244,0.155090305960763,103155,31471,803
"8919","Nipinnawasee CDP",2014,3.062,14,14,0,0,0,0,13,0,0,14,0,1542,1542,0,0,0,0,1442,0,0,1542,0,-0.712142857142857,0.704012440574395,-1.02,-1.02,0.307857142857143,0.267184136200791,388888,253884,1330
"8920","Nipomo CDP",2014,14.852,762,726,12,74,0,0,403,55,1,636,0,48706.09,44192.09,1472,0,4247.7,0,18870.6,3735,100,42068.59,0,-0.625223097112861,1.15121270234311,-0.510564304461942,-0.510564304461942,-0.0665485564304462,0.177013562155949,549555,333474,804
"8921","Norco city",2014,13.962,1144,1122,7,158,2,0,646,74,1,964,0,93348.07,81486.39,6936.3,175,4969.22,0,16265.58,23371,250,57284.79,0,-0.657867132867133,0.993194777898734,-0.433828671328671,-0.433828671328671,-0.0623688811188811,0.200564558242213,463106,182304,805
"8922","Nord CDP",2014,2.105,11,11,0,0,0,0,0,7,1,3,0,26535,26535,0,0,0,0,0,13900,10000,12600,0,0.924545454545455,0.0881321322065495,0.854545454545455,0.854545454545455,0.07,0.509175804609763,117680,68111,806
"8923","Norris Canyon CDP",2014,3.536,63,63,0,2,0,0,21,7,0,41,0,39613.06,39613.06,0,0,538.46,0,6535,6600,0,29863.06,0,-0.151428571428571,0.990037238046577,-0.285873015873016,-0.285873015873016,-0.00904761904761906,0.263339069334172,99962,50166,807
"8924","North Auburn CDP",2014,7.798,763,740,15,71,1,0,550,85,0,576,0,75432.8,71319.6,2965,10,5092.88,0,20736,18195,0,50719.24,0,-0.835111402359109,1.05983152819241,-0.567116644823067,-0.567116644823067,-0.094954128440367,0.213492620347653,264366,160867,808
"8925","North Edwards CDP",2014,12.746,68,24,0,4,0,0,3,14,0,54,0,3480.8,1604.04,0,0,79.54,0,30.5,794,0,2686.8,0,-0.227794117647059,0.86444675705666,-0.245147058823529,-0.245147058823529,-0.000735294117647076,0.390117916259276,29317,15206,809
"8926","North El Monte CDP",2014,0.423,178,178,0,8,8,0,106,54,0,114,0,17565.15,17565.15,0,285,5025,0,8397.65,6443,0,9426.51,0,-0.406179775280899,1.29679265849891,-0.294325842696629,-0.294325842696629,-0.0566292134831461,0.196620853537222,37487,13268,810
"8927","North Fair Oaks CDP",2014,1.2,1302,1298,3,98,8,3,1132,17,0,1000,0,128586.09,126288.38,1937,94699,98773.33,112,115124.49,7820,0,19844.35,0,-1.27052995391705,0.418025568739223,-0.817250384024578,-0.817250384024578,-0.100253456221198,0.213186750506281,189080,74821,811
"8928","North Gate CDP",2014,0.658,150,150,0,3,0,0,143,3,0,111,0,11578.72,11578.72,0,0,3615,0,9501.05,2072.67,0,5474.8,0,-1.25086666666667,0.30276341721036,-1.0106,-1.0106,-0.0918,0.161024696926075,134372,77613,812
"8929","North Highlands CDP",2014,8.831,3557,978,334,78,1,2,2035,217,79,2155,0,16012769.01,95871.9,1377842.87,500,1869.99,25,12770761.12,638727.11,96110.14,5491234.43,0,-0.714554399775091,0.688151004533457,-0.583775653640708,-0.583775653640708,0.00998313185268484,0.423718938387232,710846,288743,813
"8930","North Lakeport CDP",2014,3.845,124,124,0,27,0,0,66,2,0,119,0,9475.35,9475.35,0,0,2004,0,2044.85,340,0,9280.35,0,-0.405,1.11823503499753,-0.465161290322581,-0.465161290322581,-0.0555645161290323,0.109835815529065,162867,96079,814
"8931","North Richmond CDP",2014,1.408,193,174,17,13,0,0,147,5,0,166,0,27748.11,11348.11,8200,0,348.95,0,9625.11,630,0,24422.25,0,-1.15777202072539,0.569356096324098,-0.712072538860104,-0.712072538860104,-0.0861658031088083,0.227712385915834,183167,84698,815
"8932","North San Juan CDP",2014,2.422,51,51,0,2,0,0,44,3,0,32,0,3928.09,3928.09,0,0,40,0,1371.09,2500,0,923.09,0,-1.30588235294118,0.674804198180741,-0.934509803921569,-0.934509803921569,-0.157058823529412,0.159527980212213,123340,80559,816
"8933","North Shore CDP",2014,11.177,3,2,1,0,0,0,2,1,0,2,0,2053,53,2000,0,0,0,53,2000,0,53,0,-0.04,0.890673902166219,-0.606666666666667,-0.606666666666667,0.183333333333333,0.291947483861967,112107,37433,817
"8934","North Tustin CDP",2014,6.673,2436,2411,12,192,5,0,1090,576,18,1726,0,563993.1,553760.2,4296.6,689,44197.84,0,109398.94,264317.42,5115.74,311363.77,0,-0.33685960591133,1.11196721104238,-0.161674876847291,-0.161674876847291,-0.0671428571428571,0.335213508403075,359192,191449,818
"8935","Norwalk city",2014,9.707,1467,1225,54,78,2,7,790,63,27,1138,0,414684.9,199122.14,33339.28,505,3901.4,2151.58,87181.85,34843.37,17534.46,180243.84,0,-0.889679618268575,0.751184580393072,-0.629979550102249,-0.629979550102249,-0.0759100204498978,0.249926947202022,978717,241827,819
"8936","Novato city",2014,27.44,9090,8789,59,939,80,1,6773,376,16,7197,0,1365679.34,434534.8,51430.95,1117,36659.78,10,925314.33,103811.99,49444.02,918925.38,0,-1.04851485148515,0.72923575704997,-0.69463696369637,-0.69463696369637,-0.0883762376237624,0.221319081662529,777012,446029,820
"8937","Nubieber CDP",2014,0.749,1,1,0,0,0,0,0,1,0,0,0,200,200,0,0,0,0,0,200,0,0,0,0.8,NA,0.77,0.77,0.03,NA,18066,10824,1413
"8938","Nuevo CDP",2014,6.771,135,123,6,16,0,0,41,32,0,96,0,14670.89,7504.89,139,0,196.5,0,1177,1725,0,12625.89,0,-0.0171851851851852,1.07150100594868,0.0390370370370371,0.0390370370370371,-0.0552592592592593,0.221244207714481,218006,84721,821
"8939","Oak Glen CDP",2014,15.117,30,26,4,1,0,0,6,2,0,21,0,9202.64,8602.64,600,0,5000,0,405,5025,0,2747.64,0,0.0476666666666667,0.9994470310207,-0.131,-0.131,-0.0456666666666667,0.128053957736393,192788,97396,822
"8940","Oak Hills CDP",2014,24.39,190,186,3,38,0,0,110,23,0,147,0,17689.99,4689.99,11500,0,688.53,0,1825.55,13427,0,10155.99,0,-0.654789473684211,0.997228279361578,-0.463684210526316,-0.463684210526316,-0.0677894736842106,0.134082648028621,764994,282172,823
"8941","Oak Park CDP",2014,5.29,1740,1737,0,238,0,0,1208,96,6,1248,0,176436.04,173686.04,0,0,31001.65,0,116982.5,18393,1900,121868.45,0,-0.919477011494253,0.8965682525294,-0.711103448275862,-0.711103448275862,-0.0687758620689655,0.224386573656161,272476,130672,824
"8942","Oak Shores CDP",2014,5.065,40,39,0,0,0,0,7,1,0,37,0,8799.36,8649.36,0,0,0,0,220,100,0,8549.36,0,-0.80725,0.760623858320362,-0.41575,-0.41575,-0.0485,0.063752325246684,110448,64811,825
"8943","Oak View CDP",2014,1.962,360,357,3,45,0,0,198,73,0,281,0,285169.43,284869.43,300,0,785.5,0,5052.2,244627,0,218569.43,0,-0.567027777777778,1.08072208364013,-0.400777777777778,-0.400777777777778,-0.0780277777777778,0.181846760629916,70148,37092,826
"8944","Oakdale city",2014,6.045,903,886,13,73,0,0,524,45,0,659,0,72531.5,47541.03,21790.47,0,3631.06,0,16777.13,33485.06,0,38938.31,0,-0.741140642303433,1.00892201981141,-0.548648947951274,-0.548648947951274,-0.0693023255813953,0.180122711513599,619691,309891,827
"8945","Oakhurst CDP",2014,5.999,194,182,1,74,0,0,126,10,0,175,0,37328.56,6695.56,1000,0,440.54,0,661.64,2390,0,35703.56,0,-0.913762886597938,0.800112534483904,-0.548298969072165,-0.548298969072165,-0.0639690721649485,0.156447673955803,505748,329999,828
"8946","Oakland city",2014,55.786,93091,87217,1429,8189,1030,310,62039,1188,111,71375,0,101688684.48,9311424.18,22474913.51,43568.78,578924.88,102638.56,15563442.88,1079455.95,131236.85,88288106.13,0,-1.03888109484268,0.609455286827014,-0.744517837384924,-0.744517837384924,-0.0817286311243837,0.210260508549197,4836608,2124623,829
"8947","Oakley city",2014,15.853,1160,1115,30,99,0,0,473,16,0,1056,0,63935.89,49811.7,9391.67,0,4647.54,0,16613.51,1678,0,51432.89,0,-0.609293103448276,0.78354409338942,-0.418724137931034,-0.418724137931034,-0.0441465517241379,0.176210114319366,516783,201716,830
"8948","Oakville CDP",2014,1.36,42,30,5,1,0,0,24,7,0,11,0,63559,40541,8598,0,100,0,38930,15596,0,13538.8,0,-0.336904761904762,0.805198015625359,-0.138095238095238,-0.138095238095238,-0.0947619047619048,0.182225243830174,58241,35866,831
"8949","Oasis CDP",2014,19.631,61,55,2,8,0,0,29,6,1,44,0,14897.83,12077.83,1270,0,740,0,1379.5,1720,1000,4777.83,0,-0.422950819672131,1.04029538155003,-0.291475409836066,-0.291475409836066,-0.0550819672131147,0.4883087238992,245557,136912,832
"8950","Occidental CDP",2014,4.966,228,227,0,38,8,0,200,0,0,160,0,16181.5,15681.5,0,125,616,0,12120.5,0,0,7852.25,0,-1.35513157894737,0.317036776119859,-0.94859649122807,-0.94859649122807,-0.181622807017544,0.22032114687312,114467,73430,833
"8951","Oceano CDP",2014,1.532,279,263,2,13,0,0,218,4,0,203,0,20518.2,6171.95,1056.25,0,198,0,3861.55,11500,0,9255.84,0,-1.23505376344086,0.517926046058147,-0.860430107526882,-0.860430107526882,-0.109534050179211,0.199008689179113,260267,135679,834
"8952","Oceanside city",2014,41.235,10171,9867,56,918,61,81,6390,814,34,7600,0,1736958.39,941941.57,36505.27,7997.5,122132.31,2200.1,303945.21,390226.09,215993.22,972190.2,0,-0.764005505849966,0.980790914348634,-0.547914659325533,-0.547914659325533,-0.0512191524923803,0.339341847015074,2146721,906132,835
"8953","Ocotillo CDP",2014,8.857,2,2,0,0,0,0,2,0,0,2,0,49.5,49.5,0,0,0,0,49.5,0,0,49.5,0,0,0,-0.735,-0.735,0,0,31272,12980,1382
"8954","Oildale CDP",2014,6.533,383,368,11,17,4,0,132,52,1,320,0,75093.35,54925.43,19400,60,3177,0,14910.9,38283.5,1000,33057.75,0,-0.256762402088773,1.00120449106476,-0.13266318537859,-0.13266318537859,-0.034177545691906,0.270262214765746,360061,123349,836
"8955","Ojai city",2014,4.386,2293,2289,3,190,3,0,1959,80,7,1416,0,137666.98,136198.98,968,54,10721.3,0,96195.91,16346,4883,65718,0,-1.169995638901,0.629892473980113,-0.856506759703445,-0.856506759703445,-0.0919712167466201,0.253995377667042,244120,135498,837
"8956","Old Fig Garden CDP",2014,1.652,1323,1083,83,66,6,1,576,147,16,918,0,777762.9,319016.11,68406.38,1145,8298.4,500,282329.69,217356.04,27650,405259.5,0,-0.626984126984127,0.809936339118144,-0.431693121693122,-0.431693121693122,-0.0603552532123961,0.347520429019972,485778,224450,838
"8957","Olivehurst CDP",2014,7.473,168,156,4,3,0,0,110,13,0,156,0,11012.59,5522.59,2500,0,35,0,3273.58,2149,0,8331.59,0,-0.736904761904762,0.913451670832807,-0.577857142857143,-0.577857142857143,-0.0527976190476191,0.185523778985734,227048,86592,839
"8958","Ontario city",2014,49.941,4330,3040,341,371,24,4,1842,579,28,3092,0,6995433.06,695047.18,4665230.86,2905.5,59897.28,2682,1316677.46,758471.02,84475,5679014.75,0,-0.396748267898383,0.888203225681678,-0.368406466512702,-0.368406466512702,0.00538106235565819,0.431845577954304,1686491,507898,840
"8959","Onyx CDP",2014,11.451,10,10,0,0,0,0,7,1,0,7,0,520,520,0,0,0,0,120,200,0,290,0,-0.695,1.12100401426578,-0.433,-0.433,-0.128,0.129340206002963,285273,153341,841
"8960","Orange city",2014,24.797,8878,7492,457,776,20,10,4041,1022,46,6594,0,8482869.32,1396691.04,4203593.98,11501.5,167642.57,894.44,1540226.16,745248.94,30061.78,5812616.47,0,-0.533617931966659,0.919561843247007,-0.382127731471052,-0.382127731471052,-0.0494446947510701,0.327796168491386,2563429,1278665,842
"8961","Orange Cove city",2014,1.912,86,57,7,2,0,0,30,3,1,81,0,17687.3,4562.3,1875,0,3.3,0,6143.3,2250,300,15112.3,0,-0.131976744186047,0.645966343627795,-0.0816279069767442,-0.0816279069767442,-0.0252325581395349,0.117199947241366,157450,73445,843
"8962","Orangevale CDP",2014,11.515,2469,2347,17,235,11,0,1686,183,1,1820,0,318425.52,145297.25,1343.5,3633.5,20539.8,0,140729.3,99363,4100,120132.58,0,-0.955552855407047,0.822564616771921,-0.591283920615634,-0.591283920615634,-0.0763547995139733,0.249535056468336,549256,296817,844
"8963","Orcutt CDP",2014,11.124,1259,1252,5,280,28,0,662,136,0,1046,0,99257.82,94393.08,2107,493.7,13806.55,0,41917.44,27072.2,0,56307.35,0,-0.684479745830024,1.03898229458096,-0.423947577442415,-0.423947577442415,-0.0707863383637808,0.269489185174635,572632,369650,845
"8964","Orick CDP",2014,4.746,15,15,0,0,0,0,1,0,0,15,0,396,396,0,0,0,0,3,0,0,396,0,-0.894666666666667,0.594460940284397,-0.128,-0.128,-0.0146666666666667,0.0579244170901883,53676,31178,1331
"8965","Orinda city",2014,12.683,6101,6016,19,614,17,11,4374,346,7,3946,0,1338543.95,1134427.29,6390.76,750.3,84950.74,91.8,685609.47,223019.06,1800,716596.55,0,-0.933848549418128,0.764357593343318,-0.665458121619407,-0.665458121619407,-0.0750893296180954,0.258662409365777,490074,299737,846
"8966","Orland city",2014,2.971,188,131,14,6,0,0,57,21,0,171,0,56240.79,12482.94,7242,0,800,0,5983.5,18449.5,0,49318.29,0,-0.0832978723404255,1.0774691958552,-0.0315957446808511,-0.0315957446808511,-0.00771276595744682,0.200105807431243,314658,152911,847
"8967","Orosi CDP",2014,2.446,21,20,1,0,0,0,2,15,0,7,0,12570.67,11920.67,650,0,0,0,40,12400.67,0,995,0,-0.0933333333333333,0.883868391409792,0.698571428571429,0.698571428571429,-0.554761904761905,0.282570682265855,173583,80332,848
"8968","Oroville city",2014,12.993,240,213,25,16,4,0,87,62,0,176,0,18708.56,17625.9,485.18,4,340,0,3009.3,7209,0,13751.56,0,-0.110208333333333,1.2850949358209,-0.066125,-0.066125,-0.0429583333333333,0.258220492069098,986797,508652,849
"8969","Oroville East CDP",2014,22.149,652,648,0,0,0,0,481,22,0,525,0,22747.74,18747.74,0,0,0,0,8725.28,5925,0,15562.21,0,-1.07300613496933,0.834298281241259,-0.721564417177914,-0.721564417177914,-0.0883742331288344,0.142381956859695,683555,366360,850
"8970","Oxnard city",2014,26.894,7058,6715,116,507,55,5,4443,373,7,5369,0,630774.35,522973.48,37422.38,2455.3,31475.47,511.51,200563.35,90643.5,2650,430427.95,0,-0.864441768206291,0.846200323821443,-0.638669594786058,-0.638669594786058,-0.0607537546047039,0.222866783605022,3806233,1477635,851
"8971","Pacheco CDP",2014,0.74,400,365,12,43,0,0,196,9,0,340,0,59530.25,27576.3,13128.95,0,3065.5,0,32700.03,946.17,0,35684.62,0,-0.5475,0.853202282778444,-0.41255,-0.41255,-0.022175,0.213405421815263,212100,100547,852
"8972","Pacific Grove city",2014,2.865,3065,3045,2,305,23,4,2581,62,2,2369,0,201904.79,191511.38,300,280,6641.12,85,127429.48,34461,680,127491.92,0,-1.22679934747145,0.598388965730208,-0.880117455138662,-0.880117455138662,-0.119889070146819,0.204448696926358,838538,527761,853
"8973","Pacifica city",2014,12.658,6448,6329,7,494,44,24,3816,109,4,5037,0,315131.11,269093.23,927,3163,31009.08,646.88,121423.4,21619.6,950,225703.35,0,-0.981391129032258,0.736137764954477,-0.675862282878412,-0.675862282878412,-0.0868579404466501,0.185481879202678,313704,157369,854
"8974","Pajaro CDP",2014,0.927,56,56,0,0,0,0,54,1,0,54,0,2523.5,2523.5,0,0,0,0,523,2000,0,518.5,0,-1.35660714285714,0.401611647720052,-1.00357142857143,-1.00357142857143,-0.195,0.108544084047995,17778,6035,855
"8975","Pajaro Dunes CDP",2014,2.562,3,3,0,0,0,0,3,0,0,3,0,125,125,0,0,0,0,125,0,0,125,0,-1.36666666666667,0.167431578064991,-1.16333333333333,-1.16333333333333,-0.203333333333333,0.178978583448784,66515,37365,1383
"8976","Palermo CDP",2014,29.162,61,50,9,2,0,0,33,6,0,34,0,225897.32,5664.32,219683,0,16.5,0,3071,5890,0,217957.32,0,-0.751803278688525,1.04864437600285,-0.52344262295082,-0.52344262295082,-0.131475409836066,0.396446028548544,318191,164810,856
"8977","Palm Desert city",2014,26.81,5833,5649,62,516,13,0,3672,756,6,4213,0,823612.38,665181.23,64047.28,441,25742.53,0,200967.11,308575.01,2850,400980.29,0,-0.715995199725699,0.956307793905691,-0.490080576032916,-0.490080576032916,-0.0620024001371507,0.221754450565043,1551948,927566,857
"8978","Palm Springs city",2014,94.116,11208,10814,79,765,20,74,8991,591,12,7958,0,2152213.9,1264969.72,64960.63,131,170750.02,28628,1151015.89,644751.24,23850,976949.87,0,-1.1006789793005,0.667408386923607,-0.80207619557459,-0.80207619557459,-0.0862000356887937,0.264068263493396,2203391,1277193,858
"8979","Palmdale city",2014,105.961,4182,4154,2,494,10,1,2443,257,1,3288,0,252169.36,245479.16,750,495.96,33742.44,105,44504.15,97272.7,250,144008.68,0,-0.777312290769967,0.904440610290817,-0.495724533715925,-0.495724533715925,-0.0632018173122908,0.210858785280269,2239107,710766,859
"8980","Palo Alto city",2014,23.884,32816,31694,764,4194,2306,101,23678,1528,67,23123,0,49236475.93,41458138.06,6215049.9,851213.97,2011615.6,76748.93,10771827.17,15373617.67,545289,40010136.82,0,-1.03650749634325,0.676284338575406,-0.73515602145295,-0.73515602145295,-0.0806009263773769,0.284128203264038,1082752,632317,860
"8981","Palo Cedro CDP",2014,3.679,36,36,0,0,0,0,25,2,0,28,0,1704.5,1704.5,0,0,0,0,418.5,45,0,1466.5,0,-0.668888888888889,1.13228410815806,-0.726388888888889,-0.726388888888889,0.0102777777777778,0.473542794030041,92916,60269,861
"8982","Palo Verde CDP",2014,0.59,4,2,0,0,0,0,2,0,0,4,0,1030,30,0,0,0,0,30,0,0,1030,0,-0.325,1.17202104645494,-0.615,-0.615,-0.055,0.0635085296108589,2575,1167,1384
"8983","Palos Verdes Estates city",2014,4.774,3162,3133,13,154,13,1,1589,682,18,2005,0,1444767.09,1387692.09,36550,11622,72907,225,428441.59,751778,7704,765992.2,0,-0.403753953194181,1.03307943980064,-0.289816571790006,-0.289816571790006,-0.011382036685642,0.309170733400735,279112,145844,862
"8984","Paradise CDP",2014,4.352,2,2,0,0,0,0,2,0,0,2,0,42,42,0,0,0,0,42,0,0,42,0,0,0,-0.615,-0.615,0,0,49011,28522,863
"8985","Paradise Park CDP",2014,0.279,6,6,0,1,0,0,5,0,0,2,0,1000,1000,0,0,50,0,950,0,0,150,0,-1.22,0,-1.14833333333333,-1.14833333333333,-0.0716666666666667,0.205369585544371,145098,81286,1414
"8986","Paradise town",2014,18.308,1658,1626,28,79,2,0,1137,178,0,1331,0,151845.47,94368.37,52576.66,6,6189.47,0,28262.07,83305.1,0,115314.47,0,-0.835343787696019,1.11024359004417,-0.600874547647768,-0.600874547647768,-0.0888480096501809,0.223777709583048,561791,332747,864
"8987","Paramount city",2014,4.729,624,500,50,82,2,0,215,42,7,531,0,170385.78,60388.12,61851.84,10,3608,0,46181.62,17937,5501.84,92672.03,0,-0.37411858974359,0.829291324857386,-0.370096153846154,-0.370096153846154,-0.0225480769230769,0.187002410082634,529689,101399,865
"8988","Parksdale CDP",2014,1.811,22,22,0,0,0,0,22,0,0,18,0,202,202,0,0,0,0,202,0,0,147,0,-1.35454545454545,0.0147122471584124,-1.13227272727273,-1.13227272727273,-0.0995454545454546,0.0516837703850263,128260,69256,867
"8989","Parkway CDP",2014,2.418,883,875,2,57,275,0,212,14,0,831,0,335557.44,48882.44,500,10307.92,2079.64,0,10328.07,12573.58,0,315758.99,0,-0.360634201585504,0.666290578311963,-0.239932049830125,-0.239932049830125,-0.0463306908267271,0.133612426601219,223132,82694,868
"8990","Parkwood CDP",2014,0.698,10,10,0,0,0,0,7,0,0,6,0,420.5,420.5,0,0,0,0,400,0,0,200.5,0,-1.205,0.0724568837309471,-1.156,-1.156,-0.049,0.0296085573216033,63768,22292,1332
"8991","Parlier city",2014,2.194,162,141,14,90,0,0,103,2,1,146,0,15478.45,4731.6,7441.35,0,197.8,0,875.2,1100,1000,12332.45,0,-0.898641975308642,0.720911695191858,-0.482716049382716,-0.482716049382716,-0.0751851851851852,0.169636887403589,121640,48368,869
"8992","Pasadena city",2014,22.97,29218,26795,764,3207,90,2,15765,1739,116,22214,0,44467660.71,5720584.37,2579080.08,6157.2,321310.63,15,7621877.69,1647698.74,173244.66,38218991.11,0,-0.926348826066124,0.771393386149723,-0.683955438428366,-0.683955438428366,-0.0708327058662468,0.248616519037308,1838946,723780,870
"8993","Pasatiempo CDP",2014,0.884,286,284,0,10,2,1,197,13,1,184,0,150936.49,146074.81,0,27.5,99.5,25,94929.33,6061.68,500,116126.49,0,-1.03615384615385,0.707740583931039,-0.672692307692308,-0.672692307692308,-0.100244755244755,0.226474760354568,47165,27946,871
"8994","Patterson city",2014,5.954,783,737,24,58,1,1,484,79,1,684,0,41968.19,20908.08,9890.11,50,3144.62,50,8223.14,18214,1250,22401.51,0,-0.708556832694764,0.98609531790079,-0.434508301404853,-0.434508301404853,-0.066309067688378,0.159182025187318,442685,194739,872
"8995","Patterson Tract CDP",2014,1.446,4,3,1,0,0,0,2,1,0,3,0,312,62,250,0,0,0,12,250,0,62,0,0.5875,0.678497113725131,0.17,0.17,0.0499999999999999,0.0627162924074225,166938,80531,873
"8996","Paynes Creek CDP",2014,3.429,1,1,0,0,0,0,0,0,0,1,0,200,200,0,0,0,0,0,0,0,200,0,1.08,NA,1.03,1.03,0.05,NA,80960,45932,874
"8997","Pedley CDP",2014,5.079,601,571,2,21,0,0,496,7,0,426,0,12055.82,10932.15,500,0,70.5,0,7433.64,1404,0,8624.55,0,-1.25269550748752,0.454811010710071,-1.00342762063228,-1.00342762063228,-0.100316139767055,0.140107339407115,256920,84657,875
"8998","Penn Valley CDP",2014,2.121,185,178,3,34,0,0,84,22,1,141,0,21729.87,16759.87,300,0,1085,0,5125.6,5952,4000,11684.87,0,-0.55772972972973,1.03255078432451,-0.398864864864865,-0.398864864864865,-0.0662702702702703,0.182463910762936,147456,95226,876
"8999","Penngrove CDP",2014,4.024,423,422,0,162,7,0,361,8,0,283,0,44392.28,16837.53,0,32.5,1654.68,0,12393.28,2031,0,38648.28,0,-1.31137115839244,0.490043534017684,-0.984799054373522,-0.984799054373522,-0.164326241134752,0.199111670415255,256427,151177,877
"9000","Penryn CDP",2014,1.823,187,159,3,5,0,0,109,31,0,153,0,17525.2,15936.5,129.7,0,425,0,1954,11425,0,6770.2,0,-0.68572192513369,1.17057282535643,-0.441604278074866,-0.441604278074866,-0.120213903743316,0.169889139118994,133617,77747,878
"9001","Perris city",2014,31.393,654,589,6,53,3,0,364,96,1,529,0,81474.07,32308.24,10689.26,1508,1029.5,0,15719.2,35882.11,100,44600.38,0,-0.685336391437309,0.951141392182706,-0.533180428134557,-0.533180428134557,-0.0731039755351682,0.17638274080881,1363853,370989,879
"9002","Pescadero CDP",2014,4.026,52,52,0,0,0,0,44,2,0,50,0,897.3,897.3,0,0,0,0,316.3,500,0,794.3,0,-1.29423076923077,0.517233766522226,-0.727884615384615,-0.727884615384615,-0.0909615384615385,0.138284441377179,105410,57106,880
"9003","Petaluma city",2014,14.382,9337,9156,74,605,43,6,6992,110,4,7555,0,572469.67,387517.7,160675.07,550.3,26843.02,390.51,284948.57,33946,400,386340.78,0,-1.10693584663168,0.619867480600501,-0.752221270215273,-0.752221270215273,-0.0943686408910785,0.182724050804196,1262642,771342,881
"9004","Peters CDP",2014,2.527,22,22,0,0,0,0,0,0,0,22,0,775,775,0,0,0,0,0,0,0,775,0,-0.0822727272727273,0.841019403083922,0.447727272727273,0.447727272727273,-0.0936363636363636,0.14042606780609,70618,38901,882
"9005","Phelan CDP",2014,60.097,862,824,24,9,0,0,533,43,1,639,0,48200.71,44181.7,1028.96,0,1014,0,1986.54,32204.7,100,24471.97,0,-0.783027842227378,1.05665778032867,-0.424385150812065,-0.424385150812065,-0.0423433874709977,0.153552082351726,1733881,714529,883
"9006","Phillipsville CDP",2014,0.715,11,11,0,0,0,0,8,0,0,9,0,467,467,0,0,0,0,365,0,0,117,0,-1.50272727272727,0.114724967560763,-1.04545454545455,-1.04545454545455,-0.171818181818182,0.137172751070917,133346,68727,884
"9007","Phoenix Lake CDP",2014,11.01,596,596,0,24,0,0,517,36,0,434,0,11689.23,11689.23,0,0,1688.02,0,6491.03,3605,0,8467.56,0,-1.09058724832215,0.838031601721668,-0.715587248322148,-0.715587248322148,-0.0759563758389262,0.216400480225052,112357,67199,886
"9008","Pico Rivera city",2014,8.296,1580,1065,41,138,4,1,779,35,22,1119,0,378530.21,75569.27,15157.3,110.5,12420.21,500,195322.68,8575,15152,138885.24,0,-0.737354430379747,0.673986815663164,-0.579886075949367,-0.579886075949367,-0.0475696202531646,0.224747085130629,796147,188585,888
"9009","Piedmont city",2014,1.678,3838,3823,2,431,28,1,2877,219,5,2378,0,1429125.48,1396227.48,400,11416.5,83137.88,5,987190.74,136371.5,8750,620176.46,0,-1.05158936946326,0.661250129971916,-0.770825951016154,-0.770825951016154,-0.0746117769671704,0.338358642036111,305108,181501,889
"9010","Pine Canyon CDP",2014,3.336,25,25,0,2,0,0,5,13,0,16,0,33841,33841,0,0,5000,0,8006,20710,0,12941,0,0.2644,0.902081297149357,0.2256,0.2256,0.0968,0.610011748520742,36548,18264,891
"9011","Pine Flat CDP",2014,1.162,2,2,0,0,0,0,1,0,0,0,0,235,235,0,0,0,0,35,0,0,0,0,-1.36,0.45254833995939,-0.77,-0.77,-0.59,0.268700576850888,198783,134427,1416
"9012","Pine Grove CDP",2014,6.969,190,180,8,3,0,0,107,32,0,133,0,33185.05,15935.05,16500,0,305,0,10629.5,5687.87,0,26012.18,0,-0.764263157894737,1.00341229147236,-0.52178947368421,-0.52178947368421,-0.103578947368421,0.264724737899632,164296,105509,892
"9013","Pine Hills CDP",2014,10.118,336,336,0,31,0,0,190,27,0,306,0,12753.3,12753.3,0,0,663.5,0,5443.9,2347,0,11013.96,0,-0.590416666666667,1.04397338226871,-0.384791666666667,-0.384791666666667,-0.053452380952381,0.234832396491786,197780,103476,893
"9014","Pine Mountain Club CDP",2014,16.853,48,48,0,7,0,0,43,2,0,44,0,704.33,704.33,0,0,20.7,0,284.34,84.99,0,674.26,0,-1.28875,0.785963631338775,-0.773333333333333,-0.773333333333333,-0.134791666666667,0.313748710827789,108359,60057,894
"9015","Pine Mountain Lake CDP",2014,18.972,437,437,0,35,0,0,373,2,0,289,0,10222.64,10222.64,0,0,697.5,0,7639.64,141,0,5288.62,0,-1.27121281464531,0.34569255447685,-0.88812356979405,-0.88812356979405,-0.0710526315789474,0.176628178042489,86497,54602,895
"9016","Pine Valley CDP",2014,7.146,44,42,1,2,0,0,10,6,0,39,0,3131.5,2557.5,74,0,350,0,348.5,1251,0,2206.5,0,-0.396818181818182,1.5349021220628,-0.127727272727273,-0.127727272727273,0.00499999999999998,0.287147154560328,68128,35657,896
"9017","Pinole city",2014,5.323,2867,2596,6,335,2,18,1967,61,18,2109,0,1165856.57,108769.79,1600,135,19983.86,55,716712.25,40351.32,45750,605914.35,0,-1.08510987094524,0.705219757188027,-0.651796302755493,-0.651796302755493,-0.0792291594000698,0.218073142497676,407506,194597,897
